Participant,Code,STEM
Participant 1,Career,1
Participant 1,Utility_Applicability,1
Participant 1,Skill_Set_Building,1
Participant 10,Skill_Set_Building,0
Participant 10,Utility_Applicability,0
Participant 10,Skill_Set_Building,0
Participant 10,Utility_Applicability,0
Participant 10,Competitive_Advantage,0
Participant 10,Research_&_Dissertation,0
Participant 11,Utility_Applicability,0
Participant 11,Research_&_Dissertation,0
Participant 12,Utility_Applicability,0
Participant 12,Skill_Set_Building,0
Participant 13,Data_Visualization,0
Participant 13,Utility_Applicability,0
Participant 13,Skill_Set_Building,0
Participant 13,Competitive_Advantage,0
Participant 14,Utility_Applicability,0
Participant 14,Utility_Applicability,0
Participant 14,Skill_Set_Building,0
Participant 14,Competitive_Advantage,0
Participant 14,Competitive_Advantage,0
Participant 15,Research_&_Dissertation,0
Participant 15,Skill_Set_Building,0
Participant 15,Utility_Applicability,0
Participant 2,Utility_Applicability,0
Participant 2,Data_Visualization,0
Participant 2,Competitive_Advantage,0
Participant 2,Skill_Set_Building,0
Participant 2,Utility_Applicability,0
Participant 3,Utility_Applicability,0
Participant 3,Skill_Set_Building,0
Participant 3,Utility_Applicability,0
Participant 3,Utility_Applicability,0
Participant 4,Skill_Set_Building,0
Participant 4,Utility_Applicability,0
Participant 4,Skill_Set_Building,0
Participant 4,Skill_Set_Building,0
Participant 5,Utility_Applicability,0
Participant 5,Skill_Set_Building,0
Participant 5,Research_&_Dissertation,0
Participant 6,Skill_Set_Building,0
Participant 7,Skill_Set_Building,1
Participant 7,Utility_Applicability,1
Participant 7,Utility_Applicability,1
Participant 7,Competitive_Advantage,1
Participant 7,Career,1
Participant 7,Data_Visualization,1
Participant 7,Data_Visualization,1
Participant 8,Skill_Set_Building,1
Participant 8,Utility_Applicability,1
Participant 8,Career,1
Participant 8,Research_&_Dissertation,1
Participant 8,Skill_Set_Building,1
Participant 8,Research_&_Dissertation,1
Participant 9,Research_&_Dissertation,1
Participant 9,Skill_Set_Building,1
Participant 9,Utility_Applicability,1
Participant 9,Competitive_Advantage,1
Participant 9,Data_Visualization,1
Participant 9,Career,1
